raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 15 256 GB Blue,85000,Used,"Chattogram, CDA Avenue",05/08,https://bikroy.com/cda-avenue/mobile-phones/apple-iphone-15-256-gb-blue-rAHU16adujb9l0l1TTvzmyCr.html,3,2026-08-25T14:45:10.274203+00:00,individual,"The phone was used only for taking pictures, otherwise it stays in the room at home. I use Android so this is not used, it is only used when taking pictures or occasionally checking Facebook. Thank you"
Samsung Galaxy S25 FE 128 GB Blue,49999,Used,"Dhaka, Khilgaon",3 hours ago,https://bikroy.com/khilgaon/mobile-phones/samsung-galaxy-s25-fe-128-gb-blue-mg628BMXxZdDsyvCZlVo5GAY.html,5,2026-08-25T14:45:12.268350+00:00,individual,"Price Fixed.
The phone has not been opened or serviced in any way.
Everything alright
Mobile Town is selling phone 12 years avobe at Khilgaon.
Warranty:-
7 days replacement warranty
1 year Service warranty
Our Showroom Address :
Mobile Town
Khilgaon Taltola Mosjid Market complex.Shop No:35(Ground Floor)"
Samsung Galaxy A17 5G 128 GB Black,24000,Used,"Chattogram, Chandgaon",18/08,https://bikroy.com/chandgaon/mobile-phones/samsung-galaxy-a17-5g-128-gb-black-BMfkTC6EGefoGmopayItRCC.html,4,2026-08-25T14:45:14.125232+00:00,individual,"Samsung Galaxy A17 comes with a box and a free power bank. Used for only 1 month and 12 days. The phone is in like-new condition. No issues, no repairs, and no history of parts replacement. Everything works 100% perfectly. Contact me."
Samsung Galaxy S21 5G 128 GB White,18000,Used,"Rajshahi, Shaheb Bazar",04/08,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s21-5g-128-gb-white-krTrX0YFhmO3e46JKl6J6hag.html,4,2026-08-25T14:45:15.640807+00:00,individual,"Display changed 
Display has slight scratches
Back has a small black spot
 ★Cover available
★Original charger available"
Xiaomi Redmi Turbo 4 Pro 256 GB Black,35500,Used,"Dhaka, Uttara",6 hours ago,https://bikroy.com/uttara/mobile-phones/xiaomi-redmi-turbo-4-pro-256-gb-black-zx1lkQRRAfHuIOwg3ovsrNW6.html,3,2026-08-25T14:45:17.606774+00:00,individual,"Redmi Turbo 4 Pro, all okay, fully fresh."
Xiaomi 17 Ultra 512 GB Black,124990,Used,"Dhaka, Mohammadpur",3 hours ago,https://bikroy.com/mohammadpur/mobile-phones/xiaomi-17-ultra-512-gb-black-CrMwtLazEourDQm8H6zoGnBj.html,3,2026-08-25T14:45:18.390041+00:00,individual,"Xiaomi 17 Ultra by Leica 
Color: Black, Storage: 16GB 512GB 
Used like New With Full Box 
Price: Call for best price 
Home Delivery inside Dhaka, Courier Order all over Bangladesh 
We Accept Visa, American Express, Master & JCB Card. 
Used Mobile: 3 Days 
Hide"
Xiaomi Redmi Turbo 5 Max 256 GB White,43990,Used,"Dhaka, Shyamoli",8 hours ago,https://bikroy.com/shyamoli/mobile-phones/xiaomi-redmi-turbo-5-max-256-gb-white-7SVmcdqHNB77DzcOD6KqYrx.html,3,2026-08-25T14:45:18.941606+00:00,individual,"Redmi Turbo 5 Max (12/256GB | CN Version) 
Flagship-level performance now at a more affordable price!
 Battery Health: 100%
 Charging Cycle: Charged only 21 times
 Condition: Full Box | Full Fresh | Just Like New
 Offer Price: ৳40,990/-
━━
 EXCHANGE AVAILABLE
━━
 Phone-e
 Shop No: 573, Level-5
 Shyamoli Square Shopping Mall, Dhaka"
Xiaomi Mi 11 Ultra 256 GB White,32000,Refurbished,"Dhaka, Banglamotor",8 hours ago,https://bikroy.com/banglamotor/mobile-phones/xiaomi-mi-11-ultra-256-gb-white-w3rWwW6FavHQcohpGGtEGNFa.html,5,2026-08-25T14:45:19.649382+00:00,individual,"Xiaomi 11 Ultra 12/256GB
TK 32000/=
FULL FRESH CONDITION
You can check as much as you want
Our shop address Dhaka Elephant Road Motaleb Plaza 1205
Please call me for details 018XXXXXXXX"
Xiaomi Poco X7 Pro 256 GB,26000,Used,"Dhaka, Mohammadpur",1 day ago,https://bikroy.com/mohammadpur/mobile-phones/xiaomi-poco-x7-pro-256-gb-sLcJOsxxDSdZn5bFHOjlCkll.html,5,2026-08-25T14:45:19.935851+00:00,individual,Assalamu Alaikum. Those who like my phone can take a look. Only phone.
Xiaomi Redmi Note 15 256 GB Silver,33000,Used,"Dhaka, Mirpur",22/08,https://bikroy.com/mirpur/mobile-phones/xiaomi-redmi-note-15-256-gb-silver-xveqlzfKj3mMO8uamW4j8Ywg.html,5,2026-08-25T14:45:20.613657+00:00,individual,"Urgent Sale: Redmi Note 15 5G (Full Box)
Grab this completely fresh condition Redmi Note 15 5G phone. There are no issues with the phone, it is running as good as new.
Brief Description:
Model: Redmi Note 15 5G
Condition: Completely fresh, no performance or internal issues.
Included: Original charger, original cash memo/box."
Samsung Galaxy S22 5G 256 GB Black,24000,Used,"Rajshahi, Shaheb Bazar",13/08,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s22-5g-256-gb-black-cEdoF2Kqxelaytgsz8o1zCJm.html,4,2026-08-25T14:45:21.307732+00:00,individual,"I need emergency money so I am selling this.
There are no problems."
Samsung Galaxy M56 5G 256 GB Black,27500,Used,Rajshahi,22 hours ago,https://bikroy.com/rajshahi/mobile-phones/samsung-galaxy-m56-5g-256-gb-black-eLiuqcWo0AGGl9EWelQdLzZD.html,5,2026-08-25T14:45:22.015916+00:00,individual,"Samsung M56 5G 
8/256 GB (Only 6 months used)
Super Fresh just one small dent is there
Indian phone
International Indian Warranty available.
Cash memo with 7 days replacement warranty.
Location: Cantonment road, Mothurdanga mor, Rajshahi"
Samsung Galaxy S22 Ultra 128 GB Purple,45000,Refurbished,"Chattogram, Patenga",05/08,https://bikroy.com/patenga/mobile-phones/samsung-galaxy-s22-ultra-128-gb-purple-cF89GNKGN8JEA8JGN02UBxeb.html,3,2026-08-25T14:45:22.422814+00:00,individual,"Samsung Galaxy S22 Ultra (Burgundy) for sale 
 Condition: Very good, 100% functional
 Display: Dynamic AMOLED 2X, 120Hz
 Camera: 108MP + Multiple premium cameras
 Battery: Good backup
 Fingerprint: In-display
 5G Support: Available
 Original Look & Premium Design"
