raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 15 Plus 128 GB,68000,Used,"Chattogram, Pahartali",2 days ago,https://bikroy.com/pahartali/mobile-phones/apple-iphone-15-plus-128-gb-7WAp5Mw29zIvlDbF6JnHyxN3.html,3,2026-09-07T05:02:51.271894+00:00,individual,"Model Number: MU163HN/A 
• Colour: Ocean Blue
• Battery Health:92% 
• Cycle Count:320 
• Condition: Neat & clean, no scratches
• Performance: Smooth like new
• Camera: Crystal clear photos & video
• Face ID Fully working 
• Display: Original, no spot or line
• Body: Scratch-free"
Apple iPhone 16 128 GB White,69000,Used,"Rajshahi, Shaheb Bazar",23 hours ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-16-128-gb-white-kf4Ow26G5OQJFaPzAD2zykdL.html,3,2026-09-07T05:02:53.307450+00:00,individual,"iPhone 16
128 GB, 100% Battery Health
Super condition
7 days replacement guarantee
1 year service warranty
#exchange possible
Our Address:
Smart Choice, Shop No. 211,
City Center, Beside Rajshahi College, Sonadighi Mor, Rajshahi
Call for any details:"
Samsung Galaxy A35 256 GB White,25000,Used,"Rajshahi, Court Station",31/08,https://bikroy.com/court-station/mobile-phones/samsung-galaxy-a35-256-gb-white-v208dryl8YUMK1Heezxozo5g.html,5,2026-09-07T05:02:55.952836+00:00,individual,একদম ফ্রেশ কন্ডিশন নতুনের মতো। যত খুশি চেক করে নিতে পারবেন৷  ইন্ডিয়ান ফোন।  তাই শুধু ফোন পাবেন।  বডিতে সামান্য কিছু দাগ আছে । ব্যাটারি ব্যাকাপ + গামিং + ফোটোর জন্য বেস্ট৷ শুধু মাত্র প্রকৃত ক্রেতারাই ফোন দিবেন{phone=০১৫২১৭৯৯১৭৫}
Samsung Galaxy A36 256 GB Purple,30000,Used,"Rajshahi, Laksimipur",1 day ago,https://bikroy.com/laksimipur/mobile-phones/samsung-galaxy-a36-256-gb-purple-kEzXHvSVwag157cMah3HDQ2a.html,3,2026-09-07T05:02:56.821614+00:00,individual,100% full fresh and look like brand new condition
New Xiaomi Civi 5 Pro 256 GB White,65000,Brand New,"Dhaka, Jamuna Future Park",2 hours ago,https://bikroy.com/jamuna-future-park/mobile-phones/new-xiaomi-civi-5-pro-256-gb-white-lgg9I3LoJ0qnCgLHurpr0Rof.html,4,2026-09-07T05:02:58.485656+00:00,individual,"Xiaomi Civi 5 pro– Best condition 
• 128 GB Storage• 
• Color: Nebula Purple
• China Variant
• Battery Health: 100%
• Absolutely fresh, no issues at all 
• Face ID, Camera, True Tone all 100% OK
• Box/Charger: Included 
• Location: Jamuna Future Park, Level 4, 4B-007D"
New Xiaomi 17T 256 GB,67000,Brand New,"Dhaka, Jamuna Future Park",4 hours ago,https://bikroy.com/jamuna-future-park/mobile-phones/new-xiaomi-17t-256-gb-fMbn7o9peT9ED4GfNgDXY0V7.html,5,2026-09-07T05:02:59.103127+00:00,individual,"Xiaomi 17T
BD official 
Cycle count : 8
12GB 256GB
Full Fresh condition 
Price: 67000 Tk
 Paramount Gadget
Jamuna Future Park Shopping Mall
Level 4, Shop No: 006C
Near Lift 7 (নোকিয়া গলি)
 
."
New Xiaomi Redmi Turbo 4 Pro 256 GB,42999,Brand New,"Dhaka, Bashundhara City",2 hours ago,https://bikroy.com/bashundhara-city/mobile-phones/new-xiaomi-redmi-turbo-4-pro-256-gb-yrYnpfgXFaD1Cy5IjYDTJYuK.html,3,2026-09-07T05:02:59.674502+00:00,individual,"10 days replacement guarantee
 2 years service warranty
 Safe courier service across the country
 Attractive exchange offer
 Basement-1, Shop-84, Bashundhara City Shopping Mall
 Price is negotiable. Please contact via WhatsApp before coming."
Xiaomi Civi 1S 128 GB,16500,Used,"Dhaka, Mirpur",09/08,https://bikroy.com/mirpur/mobile-phones/xiaomi-civi-1s-128-gb-ndEEHA0Q5ashYu5hZtLHwD3W.html,5,2026-09-07T05:03:00.506343+00:00,individual,"I will sell my phone, if anyone wants to take it call me at 013XXXXXXXX"
Xiaomi Mi 11 256 GB Blue,20000,Used,"Dhaka, Savar",31/08,https://bikroy.com/savar/mobile-phones/xiaomi-mi-11-256-gb-blue-laAzyEqblmpHaeIUTFIObqDF.html,4,2026-09-07T05:03:01.039625+00:00,individual,"আসসালামু আলাইকুম 
 ফোনের মধ্যে কোন প্রবলেম নেই এক বছর হয়েছে ইউস করছি টাকার প্রয়োজন তাই ফোনটা বিক্রি করব। ফোনে ১২ জিবি রেম এবং 256 রোম ফোনে ৩০x জুম ক্যামেরা, ফোনটা পুরো নতুনের মত কোনরকম কোন দাগ নেই, চার্জ মোটামুটি আলহামদুলিল্লাহ ভালো থাকে, ইনশাল্লাহ আপনি ফোনের ঠকবেন না"
Xiaomi Redmi K50 Ultra 256 GB Blue,25499,Used,"Dhaka, Mirpur",2 hours ago,https://bikroy.com/mirpur/mobile-phones/xiaomi-redmi-k50-ultra-256-gb-blue-f8msEn2lMfV3kN2vlcF4ouDu.html,5,2026-09-07T05:03:01.631902+00:00,individual,"S A Gadget Mart. Shop No: 35, 3rd Floor, Baghdad Shopping Complex, Mirpur-1, Dhaka-1216.
Model:Xiaomi K50 Ultra 5g
RAM:12 GB
Storage: 256 GB
Battery: 5000 mAh
PRICE FIXED: 
Device and ,cash memo available
Replacement Guarantee: 7 Days. Service Warranty: 2 Years. Home delivery available all over Bangladesh."
Samsung Galaxy S22 5G 256 GB,19999,Used,"Rajshahi, Shaheb Bazar",1 day ago,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s22-5g-256-gb-jYyKkQGAOy5T3z9eNx1wm7JR.html,5,2026-09-07T05:03:02.261360+00:00,individual,"ফোনের অন্য কোনো সমস্যা নেই, অরিজিনাল ডিসপ্লে,ক্যাশ মেমো আছে,ব্যাটারি ব্যাকআপ ভালো, ক্যামেরা ভালো। সমস্যা শুধু দুইটা লাইন পড়ছে।"
