raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 11 128 GB White,30000,Used,"Chattogram, Bandar, Chattogram",01/09,https://bikroy.com/bandar/mobile-phones/apple-iphone-11-128-gb-white-hyqj3QzlP9Zy8XEBS7myhEUA.html,5,2026-09-25T05:50:54.203321+00:00,individual,"Urgent sell. One hand use, secure, battery health 91%"
Apple iPhone 15 128 GB Green,59000,Used,"Rajshahi, Paba",15/09,https://bikroy.com/paba/mobile-phones/apple-iphone-15-128-gb-green-rTRtta7zpC6OhtuJNsvSyHtk.html,5,2026-09-25T05:50:56.714538+00:00,individual,"Full fresh condition
Battery health 86%
Cycle count 680+
No repair history
All parts original"
Samsung Galaxy S21 FE 5G 128 GB Blue,24000,Used,"Chattogram, Agrabad",23 hours ago,https://bikroy.com/agrabad/mobile-phones/samsung-galaxy-s21-fe-5g-128-gb-blue-k3bguO7oc0z9ll06t9JkuMyj.html,3,2026-09-25T05:50:58.683500+00:00,individual,"Set is in fully fresh condition. RAM 8GB, Storage 128GB. Comes with charger."
Samsung Galaxy S20 Ultra 5G 128 GB Black,18000,Used,"Rajshahi, Rajpara",07/09,https://bikroy.com/rajpara/mobile-phones/samsung-galaxy-s20-ultra-5g-128-gb-black-pNJixQO9hEkEEgCszz3C8qaF.html,5,2026-09-25T05:50:59.826344+00:00,individual,Full freah display change but high quality lagano back side ta hat theke pore fete geche khali baki all ok
Xiaomi Redmi Note 13 Pro+ 256 GB Red,28000,Used,"Dhaka, Rampura",14/09,https://bikroy.com/rampura/mobile-phones/xiaomi-redmi-note-13-pro-256-gb-red-yPEmT9eOoarm8C7uW42cWEDw.html,3,2026-09-25T05:51:01.621229+00:00,individual,"All ok
Only device and cash memo"
Xiaomi Redmi Note 14 Pro 256 GB Black,25000,Used,"Dhaka, Vashantek",02/09,https://bikroy.com/vashantek/mobile-phones/xiaomi-redmi-note-14-pro-256-gb-black-8n2yXL3rFVrIwsoe6W6QI0yF.html,4,2026-09-25T05:51:01.761479+00:00,individual,"ফোন এখনো নতুনের মধ্যে আছে, যত্ন করে ইউজ করা হয়েছে কোন রকমের ডেন্ট বা দাগ নেই সার্ভিসিং করানো হয়নি ফোনের সাথে বক্স চার্জার সবকিছুই আছে সেমিস্টার ফি জমা দিতে হবে যার কারণে ফোনটা বিক্রি করে দিব যদি কেউ নিতে আগ্রহী শুধুমাত্র তারাই মেসেজ এবং কল করবেন , সরাসরি দেখে নিতে পারবেন"
Xiaomi Redmi 13 128 GB Black,16000,Used,"Dhaka, Baridhara",3 hours ago,https://bikroy.com/baridhara/mobile-phones/xiaomi-redmi-13-128-gb-black-pzAAjD0ZfrpYbTgIIC8vnySC.html,4,2026-09-25T05:51:02.871096+00:00,individual,"Redmi 13, without box, full fresh condition."
New Xiaomi 12 Pro 256 GB Blue,55000,Brand New,"Dhaka, Mohammadpur",02/09,https://bikroy.com/mohammadpur/mobile-phones/new-xiaomi-12-pro-256-gb-blue-A0A6jyiEgN8ylZJqxGW001rT.html,3,2026-09-25T05:51:03.161571+00:00,individual,Xiaomi 12 pro. Full fresh.
Xiaomi Redmi K80 Ultra 256 GB Green,48999,Used,"Dhaka, Savar",28/08,https://bikroy.com/savar/mobile-phones/xiaomi-redmi-k80-ultra-256-gb-green-8TbYBcflB5Sh5vrbQwtv3nEB.html,5,2026-09-25T05:51:03.815276+00:00,individual,Shob ekdm 100% perfect 013XXXXXXXX
New Xiaomi Redmi Turbo 4 Pro 256 GB White,40499,Brand New,"Dhaka, Jatrabari",01/09,https://bikroy.com/jatrabari/mobile-phones/new-xiaomi-redmi-turbo-4-pro-256-gb-white-aXpsvlgItYS8fy0DJyvxhUmY.html,4,2026-09-25T05:51:04.418729+00:00,individual,"Fully fresh phone ,,You can check properly"
Samsung Galaxy S20+ 5G 128 GB Black,20000,Used,"Rajshahi, Court Station",05/09,https://bikroy.com/court-station/mobile-phones/samsung-galaxy-s20-5g-128-gb-black-1gCYI0KEthSGMs3EZpAJEcxr.html,3,2026-09-25T05:51:04.818065+00:00,individual,ফোনে কোন সমস্যা নাই হাত থেকে পড়ে গিয়ে ব্যাক সেল ভেঙ্গে গিয়েছিল শুধু ব্যাকসেলটাই চেঞ্জ করা হয়েছে তাছাড়া ফোনে কোন সমস্যা নাই যত খুশি দেখি নিবেন দামাদামি খুব বেশি করব না সাথে ভোটার আইডি কার্ড দেওয়া হবে না নিলে কেউ অযথা এসএমএস বা কল দিবেন না
