raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 12 Pro 128 GB Blue,34000,Used,"Dhaka, Savar",10/09,https://bikroy.com/savar/mobile-phones/apple-iphone-12-pro-128-gb-blue-8JtslnvW50fvv5cPBzM9wWHE.html,3,2026-09-26T03:06:19.795382+00:00,individual,"My iPhone 12 Pro phone is for sale, it has been personally used and all functions work properly. The phone is in good condition.
Details:
* Model: iPhone 12 Pro
* Storage: 128GB
* Color: Pacific Blue
* Variant: US Variant
* Battery Health: 72%
* Box: None
* Charger: Available
Only interested buyers should contact. Reasonable offers will be considered."
Samsung Galaxy F55 256 GB Black,26000,Used,Rajshahi,05/09,https://bikroy.com/rajshahi/mobile-phones/samsung-galaxy-f55-256-gb-black-if02FKyR36j9GslapohV26Tw.html,3,2026-09-26T04:07:17.781325+00:00,individual,টাকার সমস্যার জন্য বিক্রি করবো। ১ মাস ব্যবহার করা হয়ছে। সাথে ক্যাশ মেমো আর চার্জার দেয়া জাবে
Samsung Galaxy S20 Ultra 5G 128 GB Black,18000,Used,"Rajshahi, Rajpara",07/09,https://bikroy.com/rajpara/mobile-phones/samsung-galaxy-s20-ultra-5g-128-gb-black-pNJixQO9hEkEEgCszz3C8qaF.html,5,2026-09-26T04:07:18.574280+00:00,individual,Full freah display change but high quality lagano back side ta hat theke pore fete geche khali baki all ok
Samsung Galaxy S20+ 5G 128 GB Black,20000,Used,"Rajshahi, Court Station",05/09,https://bikroy.com/court-station/mobile-phones/samsung-galaxy-s20-5g-128-gb-black-1gCYI0KEthSGMs3EZpAJEcxr.html,3,2026-09-26T04:07:19.280195+00:00,individual,ফোনে কোন সমস্যা নাই হাত থেকে পড়ে গিয়ে ব্যাক সেল ভেঙ্গে গিয়েছিল শুধু ব্যাকসেলটাই চেঞ্জ করা হয়েছে তাছাড়া ফোনে কোন সমস্যা নাই যত খুশি দেখি নিবেন দামাদামি খুব বেশি করব না সাথে ভোটার আইডি কার্ড দেওয়া হবে না নিলে কেউ অযথা এসএমএস বা কল দিবেন না
Samsung Galaxy S24 Ultra 512 GB Gold,83000,Used,"Chattogram, Nasirabad",13/07,https://bikroy.com/nasirabad/mobile-phones/samsung-galaxy-s24-ultra-512-gb-gold-dxEOFOvZ25AlGnrzJxS32fYG.html,3,2026-09-26T04:07:19.753730+00:00,individual,"Full box given 
12/512 
Vietnam variant
A very little dot in the screen otherwise all ok no scratch"
Samsung Galaxy Z Fold 6 (12/256) DUAL SIM BOX (Used),120000,Used,"Chattogram, Chawkbazar",22 hours ago,https://bikroy.com/chawkbazar/mobile-phones/samsung-galaxy-z-fold-6-12-256-dual-sim-box-used-zcU1KIkG3VDPt1bIhFEOOgY4.html,2,2026-09-26T04:07:20.240218+00:00,individual,"🔳 Used abroad for 2/3 months. As good as new condition.
🔳 Storage: 12/256GB
🔳 Colour: Silver
◾ Box and original cable included

🔰 Our Speciality......................................

◾ Original & Non-Refurbished Product
◾ EMI Facilities Available*
◾ Accept Visa, Master Card
◾ Delivery facility inside & outside Chattogram
◾ Phone exchange facilities*
◾ All products are original and genuine.
◾ 7-day replacement and 1-year service warranty on all products

🔰 Our Showroom Address:

Rony Enterprise (Since 2007)
Bali Arcade Shopping Center
4th Floor, Shop no 03 (in front of Chawkbazar Post Office)
Sirajuddula Road, Chawkbazar, Chattogram Show more"
Samsung Galaxy Z Fold 6 (12/256) SILVER INTACT (Brand New),150000,Brand New,"Chattogram, Chawkbazar",22 hours ago,https://bikroy.com/chawkbazar/mobile-phones/samsung-galaxy-z-fold-6-12-256-silver-ntact-brand-new-xrm71kM0G8kG1ttk54QkJyb2.html,0,2026-09-26T04:07:20.967064+00:00,individual,"🔳 INTACT SEAL PACK. DUAL SIM 🔳 Storage: 12/256GB 🔳 Colour: SILVER ◾ Box And Original Cable 🔰 Our Speciality: ◾Original & Non-Refurbished Product ◾Emi Facilities Available* ◾Accept Visa, Master Card ◾Delivery Facility inside & Outside ctg. ◾Phone Exchange Facilities* ◾ All Products Original And Genuine. ◾Our All Product 7 Days replacement And 1 year Service Warranty 🔰 Our Showroom Address: Rony Enterprise (Since 2007), Bali Arcade Shopping Center, 4th Floor, Shop no 03 (infront of chawkbazar Post Office), Sirajuddula Road, Chawkbazar, Chattogram Show more"
Apple iPhone 16 Pro Max 256 GB Rose Gold,115000,Used,"Chattogram, New Market, Chattogram",12/09,https://bikroy.com/new-market/mobile-phones/apple-iphone-16-pro-max-256-gb-rose-gold-uJo9OsH8r61ll8LIDA7QG69D.html,5,2026-09-26T04:07:22.897498+00:00,individual,"The mobile was sent from Dubai, used by a single person, fully fresh body with no scratches
Battery health 90%
Original box is available, security can be provided if wanted
You can check it to your heart's content, no issues at all
Call directly at 019XXXXXXXX"
Apple iPhone 14 Pro Max 128 GB Purple,59000,Used,"Rajshahi, Nawdapara",30/08,https://bikroy.com/nawdapara/mobile-phones/apple-iphone-14-pro-max-128-gb-purple-84zpHG9PTVYhlxMpTrfEa5JB.html,4,2026-09-26T04:07:24.378769+00:00,individual,"Face id 
Display change ( True tone )
Box + cash memo available 
Bh 76% (charge onk valo thake original Battery)
Price akdom fixed"
Samsung Z 16 GB Blue,45000,Used,"Chattogram, Khulshi",31/08,https://bikroy.com/khulshi/mobile-phones/samsung-z-16-gb-blue-mttM7VbSHdRMrG4lwpmor7A5.html,3,2026-09-26T04:07:26.824623+00:00,individual,"SAMSUNG Z FLIP4 
8/128
PRICE NEGOTIABLE"
Samsung Galaxy S21+ 5G 128 GB Silver,21000,Used,"Rajshahi, Motihar",2 days ago,https://bikroy.com/motihar/mobile-phones/samsung-galaxy-s21-5g-128-gb-silver-8qwq9xcX6cZOxQ2ADkeU72PN.html,5,2026-09-26T04:07:28.121057+00:00,individual,"The mobile is 100% fresh, nothing has been changed, and there are no problems.
Original box and cable will be provided with it."
Samsung Galaxy S21 FE 128 GB Black,23500,Used,"Rajshahi, Charghat",07/09,https://bikroy.com/charghat/mobile-phones/samsung-galaxy-s21-fe-128-gb-black-vWEaxvVbNgAj7xeE5YbC6DM9.html,5,2026-09-26T04:07:28.833657+00:00,individual,"Phone ta khubi Valo box charger sob ase 
Kono problem nai joto iccha dekhe niben 
Ar kew sms diben na 
Direct ai number call diben"
Samsung Galaxy S20 128 GB Black,20000,Used,"Rajshahi, Kazla",07/09,https://bikroy.com/kazla/mobile-phones/samsung-galaxy-s20-128-gb-black-stqKC2skxm6iBOEuz5ldGegt.html,4,2026-09-26T04:07:29.394099+00:00,individual,"ফোনে কোনো সমস্যা নেয় 
ফুল ফ্রেস 
অরজিনাল দাম জানতে হলে WhatsApp নকদিন"
Samsung Galaxy S22 Ultra 256 GB Black,35000,Used,"Chattogram, Kotwali, Chattogram",29/08,https://bikroy.com/kotwali/mobile-phones/samsung-galaxy-s22-ultra-256-gb-black-BxygghxCWWavye0Vqu1NwpQ2.html,4,2026-09-26T04:07:29.944073+00:00,individual,Full fresh 12/256 Vietnam variant
Samsung Galaxy Z Fold6 256 GB Blue,77000,Used,"Dhaka, Dhanmondi",22/09,https://bikroy.com/dhanmondi/mobile-phones/samsung-galaxy-z-fold6-256-gb-blue-3BrWatv0gHch4UhIi1eM7Wq3.html,5,2026-09-26T04:07:30.324917+00:00,individual,"Samsung Galaxy Z Fold 6 (12/256)
The phone is in absolute fresh condition. Only those who are genuinely willing to buy should knock. 
Inner and outer display 100% okay, no issues"
Samsung Galaxy S26 Ultra 5G 512 GB Purple,115999,Used,"Dhaka, Mohammadpur",1 hour ago,https://bikroy.com/mohammadpur/mobile-phones/samsung-galaxy-s26-ultra-5g-512-gb-purple-C6chzML9zHtZFLUpt66iBe3I.html,4,2026-09-26T04:07:31.039646+00:00,individual,"Shop Name :Ab international 
Level -06 Shop number-(657,658)
Tokyo Square,Japan garden city, Mohammadpur
Call us for any question

👉 USED ফোন কিনে নিয়ে আর কোন দুশ্চিন্তা নয় কারণ আমরা দিচ্ছি ১০০% অরিজিনাল এবং অথেন্টিক ফোন। 
👉৭ দিনের মধ্যে কোনরকম প্রবলেম হলে রিপ্লেস করে দেওয়া হবে( Expect display issues)
👉এক বছরের ফ্রি সার্ভিস ওয়ারেন্টি"
Samsung Galaxy S24 Ultra 512 GB Gray,82000,Used,"Dhaka, Khilgaon",13/09,https://bikroy.com/khilgaon/mobile-phones/samsung-galaxy-s24-ultra-512-gb-gray-CsqAqkBCdbnvjU8D11wXW8hR.html,5,2026-09-26T04:07:31.562066+00:00,individual,"Full Box
Cash Memo
12/512gb
Vietnam"
