raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 15 Pro Max 256 GB Black,95000,Used,"Chattogram, Pahartali",15 hours ago,https://bikroy.com/pahartali/mobile-phones/apple-iphone-15-pro-max-256-gb-black-6ADTIrP3Ht3Wny2acOVh5Sei.html,5,2026-09-22T10:47:22.213922+00:00,individual,"I am selling this because I will buy another phone. There are no problems with the phone.
It comes with the original twenty-watt charger.
Please contact if you are interested in buying."
Apple iPhone 14 Pro Max 128 GB Purple,59000,Used,"Rajshahi, Nawdapara",30/08,https://bikroy.com/nawdapara/mobile-phones/apple-iphone-14-pro-max-128-gb-purple-84zpHG9PTVYhlxMpTrfEa5JB.html,4,2026-09-22T10:47:24.105405+00:00,individual,"Face id 
Display change ( True tone )
Box + cash memo available 
Bh 76% (charge onk valo thake original Battery)
Price akdom fixed"
Samsung Galaxy A35 128 GB Rose Gold,23500,Used,"Chattogram, Muradpur",4 hours ago,https://bikroy.com/muradpur/mobile-phones/samsung-galaxy-a35-128-gb-rose-gold-zWazxEKXz7vMJJvMer6BmmzD.html,3,2026-09-22T10:47:26.650281+00:00,individual,"Samsung galaxy A35 5G 
8/128
Full box... 
 সুবিধা:
 ১৫ দিনের রিপ্লেসমেন্ট গ্যারান্টি
 Device – 
 Shop No: 319, 3rd Floor (Lift 2 )
 CPDL RB Midtown Market, মুরাদপুর, চট্টগ্রাম (মক্কা হোটেলের পাশে)"
Xiaomi 256 GB White,27999,Used,"Dhaka, Mirpur DOHS",1 hour ago,https://bikroy.com/mirpur-dohs/mobile-phones/xiaomi-256-gb-white-pmqYDFGSo4MfXnTRCM9vJVVF.html,4,2026-09-22T10:47:28.241317+00:00,individual,"AR Gallery BD 
Shop-76, Lift-4, Shah Ali Plaza, Mirpur-10,Dhaka-1216,
Xiaomi Redmi K60 Ultra - Only Phone + Cash Memo.
★Ram:- 16GB ★Rom:-256GB 
★Back Camera:-50+8+2MP 
★Front Camera:- 20MP
★Battery:-5000mAh
★ Charging: 120W wired,
■ 5 দিনর রিপ্লেসমেন্ট গ্যারান্টি । 
■ 1 বছরের সার্ভিস ওয়ারেন্টি ( Without parts)"
Xiaomi Civi 4 Pro 512 GB Blue,36000,Used,"Dhaka, Dhanmondi",8 hours ago,https://bikroy.com/dhanmondi/mobile-phones/xiaomi-civi-4-pro-512-gb-blue-daZQhMw4sDL7xcEm3hxZXPAl.html,5,2026-09-22T10:47:29.535258+00:00,individual,"🌷🌷Welcome to""Mobile Store ""🌷🌷

আামাদের ঠিকানাঃ-

Mobile Store

Shop number -408(level 4)

Dhanmondi 32 Sukrabad bus stand
Phone number 017XXXXXXXX 018XXXXXXXX"
Xiaomi Mi 11 Ultra 256 GB Black,35000,Used,"Dhaka, Badda",16/09,https://bikroy.com/badda/mobile-phones/xiaomi-mi-11-ultra-256-gb-black-aqINzstD0IVzolpeFIptyjov.html,5,2026-09-22T10:47:29.992664+00:00,individual,"একটা স্কাচ ও নাই ফোনে, নতুন অবস্থা থেকেই পলি করা দুই পাশেই।  ফোনের সাথে শুধু দোকানের ক্যাশ মেমো পাবেন  এবং  সিকিউরিটি হিসাবে ভোটার আইডি কার্ডের ফটোকপি পাবেন। 
ফোনের সবকিছু একশ একশ। আসবেন দেখবেন যদি ভালো লাগে নিবেন। বিস্তারিত অনলাইনে দেখে নিন।"
Xiaomi Civi 4 Pro 256 GB Blue,35000,Used,"Dhaka, Badda",16/09,https://bikroy.com/badda/mobile-phones/xiaomi-civi-4-pro-256-gb-blue-hTbseruTIHqEYva81shvey9o.html,4,2026-09-22T10:47:30.554462+00:00,individual,"Want to exchange with high configured device.
- 12/256 GB
- 8s Gen 3 processor
- 50MP 2x telephoto lens (Awesome portrait)
Super handy premium phone
Location: Badda"
Xiaomi Redmi Note 15 256 GB Black,28500,Used,"Dhaka, Khilgaon",5 hours ago,https://bikroy.com/khilgaon/mobile-phones/xiaomi-redmi-note-15-256-gb-black-5u7UgoJEGtmOHwFG9DCC3vvY.html,3,2026-09-22T10:47:31.254580+00:00,business,"1mas use kora hoice
Box & charger
99% fresh
shop location :: khilgion taltola market || Dhaka telecom 2
shop no 145:: 1st floor"
Samsung Galaxy S23 256 GB Pink,23500,Used,"Rajshahi, Uposahar",01/09,https://bikroy.com/uposahar/mobile-phones/samsung-galaxy-s23-256-gb-pink-BYx0RZlpeMiBBwMtq0l2bbFe.html,5,2026-09-22T10:47:31.921904+00:00,individual,"Samsung s23 flagship device full offer 23.5k
Just display change
6.5k diye display lagano High quality IPS
Camera agun 

8k video kora jai
Snapdragon 8 gen 2 
8/256GB
Location: Rajshahi"
Samsung Galaxy S21 FE 128 GB Black,23500,Used,"Rajshahi, Charghat",07/09,https://bikroy.com/charghat/mobile-phones/samsung-galaxy-s21-fe-128-gb-black-vWEaxvVbNgAj7xeE5YbC6DM9.html,5,2026-09-22T10:47:32.670119+00:00,individual,"Phone ta khubi Valo box charger sob ase 
Kono problem nai joto iccha dekhe niben 
Ar kew sms diben na 
Direct ai number call diben"
