raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 15 Pro Max 512 GB Black,93000,Used,"Chattogram, Chandgaon",09/08,https://bikroy.com/chandgaon/mobile-phones/apple-iphone-15-pro-max-512-gb-black-6giW1bXXY349PHNWnctiBbDV.html,5,2026-08-29T07:34:17.599909+00:00,individual,"15 pro max 512 gb unit for sell at low price only 90000 
battery health 86
location bohaddarhat
full box and full fresh"
Apple iPhone 13 Pro 128 GB White,53000,Used,"Rajshahi, Shaheb Bazar",1 hour ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-13-pro-128-gb-white-6wGvvIJEvgb9NqTBCIEbblP7.html,3,2026-08-29T07:34:18.527877+00:00,individual,"iPhone 13 Pro

128 GB, 90% Battery Health

USA Version

Experience Super Condition 🔥🔥

Enjoy 7 days replacement guarantee ✅ 
Enjoy 1 year service warranty ✅ 

#exchange possible ✅

Our Address :
Smart Choice, Shop No. 211, 
City Center, Beside Rajshahi College, Sonadigir Mor, Rajshahi"
Samsung Galaxy S24 FE 256 GB Green,41990,Used,"Chattogram, CDA Avenue",1 hour ago,https://bikroy.com/cda-avenue/mobile-phones/samsung-galaxy-s24-fe-256-gb-green-ndqYZArJqC3sCbjohh9M4aHv.html,3,2026-08-29T07:34:21.482927+00:00,individual,"📱 Samsung Galaxy S25 FE

✨ Experience Like-New Quality | Fully Fresh Condition

⚡ 8GB RAM | 256GB Storage | 📸 Flagship Camera | ✨ Premium Design

🛡️ Enjoy 15-Day Replacement Guarantee | Lifetime Service Warranty

📍Finlay Square, Level-4, Shop-406, 2 No Gate, Nasirabad, Chattogram"
Samsung Galaxy S21 FE 5G 128 GB Gray,18000,Used,"Rajshahi, Shaheb Bazar",16/08,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s21-fe-5g-128-gb-gray-U8R84gN8sECS5n7Z6giiGkn.html,5,2026-08-29T07:34:22.697521+00:00,individual,"Selling urgently due to needing money.
1. Display replaced due to green line issue. Market original display installed, fingerprint works with very good quality.
2. Everything else is original.
3. Phone has 1% problem. No scratches.
4. Price is slightly negotiable upon discussion.
5. Don't waste time quoting ridiculous prices. Contact quickly if you want to buy."
Xiaomi 17 Pro Max 512 GB,103000,Used,"Dhaka, Mohammadpur",1 hour ago,https://bikroy.com/mohammadpur/mobile-phones/xiaomi-17-pro-max-512-gb-5EIwbqtURcGvP7FcL1wB1A0G.html,2,2026-08-29T07:34:24.559113+00:00,individual,"Name: Xiaomi 17 Pro and Max & 17 Ultra by Leica (Chinese and Global Rom)
Color: Black, Silver, Green
Storage: 16-512GB
Used like new
With full box
Price: Call for best price
We accept Visa, American Express, Master & JCB Card
Used Mobile: 3 days replacement & 6 months service warranty
EMI Available
(WhatsApp number)
SK Mobile Gator
Shop 670"
Xiaomi 13 Ultra 256 GB Black,43000,Used,"Dhaka, Keraniganj",06/08,https://bikroy.com/keraniganj/mobile-phones/xiaomi-13-ultra-256-gb-black-CeDFk20Uo19SiduDz2NEpkOE.html,5,2026-08-29T07:34:25.134599+00:00,individual,"Model: Xiaomi 13 Ultra (Global Variant)
 Variant: 12GB RAM + 256GB Storage
 Color: Black (Leather Back)
.
Condition:
 Used, Excellent Condition
 100% Functional
 Box Not Available
 Charger + 1 Cover Included
 Cash Memo Available
.
.
.
.
 Location: Dhaka, Keraniganj, Kolatia, Aksail"
New Xiaomi Redmi Turbo 4 Pro 256 GB,42999,Brand New,"Dhaka, Bashundhara City",4 hours ago,https://bikroy.com/bashundhara-city/mobile-phones/new-xiaomi-redmi-turbo-4-pro-256-gb-yrYnpfgXFaD1Cy5IjYDTJYuK.html,3,2026-08-29T07:34:25.926648+00:00,individual,"10 days replacement guarantee
 2 years service warranty
 Safe courier service across the country
 Attractive exchange offer
 Basement-1, Shop-84, Bashundhara City Shopping Mall
 Price is negotiable. Please contact via WhatsApp before coming."
Xiaomi Civi 2 256 GB Pink,21000,Used,"Dhaka, Mirpur",11/08,https://bikroy.com/mirpur/mobile-phones/xiaomi-civi-2-256-gb-pink-l74yPjfpRKmq7jT0BBHzi0B6.html,5,2026-08-29T07:34:26.449711+00:00,individual,"The phone has no problems and is completely fresh
You will get only the phone, location: Mirpur 1, behind Shah Ali Police Station, Nababer Bag"
Xiaomi Civi 1S 128 GB,16500,Used,"Dhaka, Mirpur",09/08,https://bikroy.com/mirpur/mobile-phones/xiaomi-civi-1s-128-gb-ndEEHA0Q5ashYu5hZtLHwD3W.html,5,2026-08-29T07:34:27.132366+00:00,individual,"I will sell my phone, if anyone wants to take it call me at 013XXXXXXXX"
Xiaomi 13 256 GB Black,26000,Used,"Dhaka, Demra",10/08,https://bikroy.com/demra/mobile-phones/xiaomi-13-256-gb-black-hYOgtlgQA5IUPIvvpWetg04z.html,3,2026-08-29T07:34:27.617140+00:00,individual,"Display changed from Bashundhara, new display, box cannot be found, only device with ID card will be provided"
Samsung Galaxy Z Flip 5 256 GB Pink,40000,Used,"Rajshahi, Boalia",21/08,https://bikroy.com/boalia/mobile-phones/samsung-galaxy-z-flip-5-256-gb-pink-zBseJuQwRwgSn6G5Z9bJi0Zu.html,5,2026-08-29T07:34:28.211331+00:00,individual,Completely fresh condition
Samsung Galaxy A34 5G 128 GB Green,19000,Used,"Rajshahi, Kazla",2 days ago,https://bikroy.com/kazla/mobile-phones/samsung-galaxy-a34-5g-128-gb-green-4WECbbC6zf8NVIwvKo6Y4xKE.html,3,2026-08-29T07:34:28.956974+00:00,individual,ফোনে কোনো ধরনের দাগ বা সমস্যা নাই আমার নিজের ব্যাবহার করা চাপাই থেকে নেওয়া হয়েছে সাথে কিছু নেই এনআইডি কার্ড দেওয়া জাবে দাম কিছু টা কমানো জাবে
